id,text,createdDate,experience,relationshipType,isPostTrip,to,from,fromPublicName,fromPublicAddressId,fromPublicAddressDescriptionfromAvatarUrl,fromStatus,fromIsVerified,fromIsDeleted,fromBlockedBy,inverseReference,response
27028876,"Good, friendly and accommodative guest. It is just great to have such an amazing person as Hadi at home. Will be glad to meet him again. He's soo generous too. He invite me to come to copenhagen and give me a whole appartement for me and my friends!",2018-10-11T10:20:37Z,positive,host,True,2008133308,2008917471,Aly,317629683,"Paris, Île-de-France, France",https://s3.amazonaws.com/ht-images.couchsurfing.com/u/2008917471/e833b134-a278-456c-8231-89db99095e52,yes,False,False,,,
26307261,"Hosted Hadi and his girlfriend Isabel for 4 nights during their trip to London

Hadi's the man. Great person who is instantly likeable and friendly and so a great guest to have to stay. He is very considerate about respecting your home. We had some great chats about all sorts of things, and shared some time over dinner and breakfasts. He's a master at chess, until you take his Queen, then it all falls apart.

You're welcome back anytime bro,  and you've given me motivation to visit the ghetto in Copenhagen.",2018-07-24T08:44:49Z,positive,host,True,2008133308,4455611,James Pugh,7160732,"London, England, United Kingdom",https://s3.amazonaws.com/ht-images.couchsurfing.com/u/4455611/f3ca2515-3b91-403b-80dc-2ca7d47fd79d,no,True,False,,,
25898258,Oh Hadi is really cool guy and yeah if you do have time to host him do so and we hang out here in Reykjavík and yeah man see you in Denmark and have fun on your trip to Dubai amigo ;) ,2018-06-07T14:26:06Z,positive,host,True,2008133308,2125362,Martin,4830484,"Reykjavík, Capital Region, Iceland",https://s3.amazonaws.com/images.couchsurfing.us/E9JFIYP/8216465_l_3659232a375a87a4546c0530fa77d148.jpg,maybe,True,False,,,
25860590,Have not met him yet hehe sorry ;),2018-06-02T23:02:55Z,positive,host,True,2008133308,4077341,Atli Lomstein,6782462,"Argir, Streymoy, Faroe Islands",https://s3.amazonaws.com/images.couchsurfing.us/RDCIVXF/16068806_l_86fc493b4dba104f08dbcd7dbf70dcae.jpg,no,True,False,,,
27299204,An amazing CS experience!!! ❤️ From first words you feel how you are welcomed at Hadi’s place. We and my friend from CS stayed for 2 nights with Hadi and really looking forward to come back and visit him again😁 I just regret that we couldn’t spend more time all together! Hope to see you soon Hadi whether in Copenhagen 🇩🇰 or any other part of the World 🗺 ,2018-11-18T22:01:07Z,positive,surf,True,2008133308,1000081092,Elena .,8374553,"Chernivtsi, Chernivtsi Region, Ukraine",https://s3.amazonaws.com/images.couchsurfing.us/5GV3YCY65/17977243_l_8e7a3c38e33c0d992b501cd6483a18b3.jpg,no,False,False,,,
27297943,"Hadi accepted my request 7 minutes after receiving it, when I was really frustrated with the community. I have been at that point a 38-reference 100% confirmed/positive member, getting rejections from everyone (sometimes without even replying to my very detailed message). He was literally my last resort, and he didn't let me down.


This not only made my day, but also saved so many last-minute planning turmoil. He also accepted my friend who was not even mentioned in the request on a last-minute basis. He even ignored the fact that I didn't read the house rules before sending my request. I felt on the phone that I was talking to my brother!


He was such a caring host even though he was super busy over that weekend. He kept phoning me and asking if I needed anything. The apartment was very cozy and everything was there (he provides his guest with a separate apartment and hands them the keys!).


I'm going to Copenhagen again just to spend time with him!",2018-11-18T18:53:46Z,positive,surf,True,2008133308,2007509587,Omar,256852072,"Amsterdam-Zuidoost, Noord-Holland, Netherlands",https://s3.amazonaws.com/ht-images.couchsurfing.com/u/2007509587/a48b3252-ed9c-4be2-9e06-5269e84e4c61,maybe,True,False,,,
27127846,"Hadi is an awesome host and a cool guy. He saved me cuz my previous host cancelled my request in the last minute.Hadi opened his door to me generously and warmly.When we first met, he just left his key to me and told me to stay in his home freely like my own home.Such a great guy! His home is very cozy and quiet where is easy to the center by bus and train.It's pity that he was little busy on his schedule due to my last minute request.Hopefully we will meet again in the future.thanks a lot bro.keep in touch ",2018-10-25T03:58:58Z,positive,surf,True,2008133308,974356,Lei Xu,3679479,"Beijing, Beijing, China",https://s3.amazonaws.com/images.couchsurfing.us/6J0LCAK/29646951_l_942d38a72cdcec7fa80a85dc21647c3e.jpg,yes,True,False,,,
26964177,"I enjoyed staying at Hadi's and meet him and his friend Hon.

We were together really shortly, but he showed to be helpful, flexible and friendly. He invited me to crash at his place after asking me to be hosted in Naples! :D He picked me up at a metro station and dropped me at his friend's after I had a long tiring trip.

Home it's a bit out of town, but public transportations in Copenhagen are efficient.

Take the chance to meet this Iraqi-Danish blend! I hope to meet again to learn more, maybe in Napoli.",2018-10-02T17:18:00Z,positive,surf,True,2008133308,3250925,Andrea Gatto,5956046,"Napoli, Campania, Italy",https://s3.amazonaws.com/images.couchsurfing.us/LT3XWJA/12140730_l_da6ab8862387a21ceae6851c217c43ec.jpg,maybe,True,False,,,
26896586,"We enjoyed our stay in Hadi’s place. He was friendly ,helpful and nice .Hope to see you again  in İstanbul .I hope we can spend more time.Stay safe bro! ",2018-09-24T13:13:58Z,positive,surf,True,2008133308,2008821512,Rafet Işleyen,313771342,"küçükçekmece, istanbul, Turkey",https://s3.amazonaws.com/ht-images.couchsurfing.com/u/2008821512/886C13FD-B847-4CA7-B03C-AD942D71FA8D,maybe,False,False,,,
26888749,"Hadi it’s an amazing guy who offers me a place for stay some nights, I didn’t share to much moments with him and I would liked know more about him but trust me, he’s so friendly and he has an smile in his face all the time, I would like be in his place again 😋
See you soon brooooo!! ☺️",2018-09-23T15:30:30Z,positive,surf,True,2008133308,1006535888,Lluís Lafferthy Cobeña,12584919,"Barcelona, Catalonia",https://s3.amazonaws.com/ht-images.couchsurfing.com/u/1006535888/D9534325-F6C4-4DC1-85A9-5E3AA6AF62ED,yes,True,False,,,
